taxi1,taxi2,proximity_count,min_distance_m,avg_distance_m,min_time_diff_s,avg_time_diff_s
20000023,20000086,191,0.0,3.0421296837606375,0,0.0
20000074,20000634,184,0.75254191860404,3.361793341036834,1,3.3152173913043477
20000074,20000668,178,0.0,3.0261350093765294,0,3.3258426966292136
20000242,20000243,118,0.0,2.765021680600017,3,4.915254237288136
20000372,20000529,116,0.0,3.0625351500609828,0,2.4741379310344827
20000113,20000384,103,1.0007543396446292,3.5859058210370622,2,3.9902912621359223
20000192,20000276,101,0.0,3.2334911512036904,0,1.801980198019802
20000189,20000668,98,0.0,2.717266004748276,2,2.0306122448979593
20000351,20000904,95,0.7525326960171587,3.2058090658101026,1,3.1052631578947367
20000012,20000672,91,0.7534721246822209,2.5015823986320433,0,4.9010989010989015
20000239,20000320,86,0.0,2.8547760289390633,2,3.197674418604651
20000249,20000320,83,0.7535755720628029,3.4014127639678744,0,4.385542168674699
20000341,20000361,78,0.0,3.3446219185269457,0,2.1153846153846154
20000051,20000054,76,0.0,3.513532925257572,0,3.8947368421052633
20000376,20000601,75,0.0,2.877371495967803,1,1.16
20000140,20000456,75,0.7536327705624353,2.8727635014283246,1,1.0
20000085,20000113,73,0.0,3.448903960104836,0,2.5342465753424657
20000189,20000653,73,0.0,3.072628502006062,4,4.013698630136986
20000269,20000476,70,0.0,3.3648346215477534,1,3.3714285714285714
20000434,20000435,67,0.0,3.2209964369271873,0,2.5522388059701493
20000012,20000668,65,0.0,2.8886669623333434,0,0.0
20000381,20000668,63,0.7534725385093737,3.3471719515886798,0,0.9682539682539683
20000195,20000472,60,1.0007543404347168,3.569862060298049,2,3.15
20000012,20000314,58,0.7534718141629464,2.7111330223597068,3,3.9827586206896552
20000634,20000668,57,0.7525133175945614,3.3963342451026763,0,3.6491228070175437
20000076,20000472,57,0.7531638443176418,3.183250872666599,1,3.3684210526315788
20000364,20000540,55,1.0007543396446292,3.262234012351002,0,2.036363636363636
20000171,20000600,54,0.7536110502828884,3.064371163550402,0,1.9074074074074074
20000041,20000113,54,0.7537022699461605,3.681059816678809,3,3.4074074074074074
20000157,20000372,52,0.0,3.159294797509168,0,3.1153846153846154
20000112,20000472,51,0.0,3.555347747240901,0,2.4901960784313726
20000364,20000904,51,0.7535558151699029,3.07010216104353,0,2.019607843137255
20000310,20000684,50,0.0,2.7271917094502864,0,2.16
20000386,20000589,49,0.7535698830806072,3.126773740699328,1,3.9183673469387754
20000432,20000502,48,0.0,2.9457645450216448,1,2.6041666666666665
20000245,20000901,47,0.7532706590086337,3.5290420331012924,0,3.5531914893617023
20000588,20000904,47,1.0007543404347168,3.231809013109315,0,2.9574468085106385
20000192,20000653,46,0.0,3.26450087566243,0,1.391304347826087
20000574,20000610,46,0.7535750550201415,3.031839301962992,0,1.891304347826087
20000576,20000678,45,0.0,3.1992817599906145,0,3.088888888888889
20000616,20000662,45,0.7533624500033507,2.956278370339929,1,2.2666666666666666
20000239,20000296,45,0.7534859877299029,2.8260361096208326,2,2.088888888888889
20000041,20000386,45,0.7535688485383881,3.281651698280789,0,3.2666666666666666
20000041,20000327,45,1.0007543396446292,3.1103318902022945,0,2.8666666666666667
20000562,20000598,44,1.0007543396446292,4.106366889001503,2,2.090909090909091
20000207,20000497,43,0.0,3.1437445960640322,0,2.302325581395349
20000314,20000668,43,0.0,2.6638816853319014,4,4.0
20000199,20000500,43,0.7535062644222759,3.5865692557580036,0,3.116279069767442
20000177,20000370,43,0.7535735034431621,3.053942690242295,1,1.5348837209302326
20000199,20000263,43,0.7536049479198176,3.1241674677204996,0,1.5813953488372092
20000539,20000577,43,1.0007543396446292,2.8811292310052736,2,2.0232558139534884
20000041,20000085,42,0.0,3.303384270841524,2,2.0476190476190474
20000153,20000154,42,0.7523582681775638,2.6300196488795673,3,3.0476190476190474
20000314,20000320,42,0.7534726419661153,3.3623302498733016,1,2.7857142857142856
20000386,20000674,42,0.7536613161171634,3.2606982039946595,0,1.5476190476190477
20000561,20000678,42,1.0007543396446292,3.058294552448395,0,3.3095238095238093
20000199,20000482,42,1.0007543396446292,3.1818449671876516,1,3.0238095238095237
20000140,20000177,41,0.0,3.1140641531692697,0,3.3902439024390243
20000140,20000334,41,0.0,3.257057962713413,1,3.341463414634146
20000617,20000902,41,0.7529879501265107,3.0062048983180154,1,1.975609756097561
20000054,20000458,41,1.0007543396446292,3.1587827325884703,3,3.0
20000005,20000678,40,0.0,2.9413986008643866,0,3.125
20000160,20000674,40,0.0,2.9442964996071814,2,2.525
20000256,20000514,40,0.0,3.4031277483243594,2,3.925
20000440,20000540,40,0.7523876022645175,3.332683068048719,2,2.725
20000393,20000500,40,1.0007543404347168,3.531249862550677,2,3.275
20000140,20000678,39,0.0,3.2127139230238027,0,2.8974358974358974
20000460,20000678,39,0.0,3.1336413607151483,1,3.0
20000632,20000662,39,0.7533347176256225,2.7378975964475836,0,3.9743589743589745
20000005,20000328,39,0.7535689521265545,3.120601359947229,1,2.871794871794872
20000576,20000658,38,0.0,3.021629014067463,1,1.1842105263157894
20000037,20000108,38,0.7532241887703067,3.369903681211486,1,4.526315789473684
20000058,20000161,38,0.7534880568128666,3.1744415048088888,0,2.8421052631578947
20000140,20000389,38,0.7535692624447393,3.0923696721297342,1,3.789473684210526
20000386,20000678,38,0.7535738137588928,3.66661838440009,0,2.9210526315789473
20000328,20000648,38,1.5069603885160832,3.7217019964678997,0,1.263157894736842
20000263,20000678,37,0.0,2.982308780405058,0,1.7837837837837838
20000101,20000598,37,0.0,3.1503266876429215,1,2.4324324324324325
20000157,20000476,37,0.7535144369687773,2.9847946757704156,3,3.081081081081081
20000334,20000393,37,0.753573400004548,2.9525406965501397,1,2.7567567567567566
20000136,20000372,37,1.0007543396446292,3.120520606992211,0,2.324324324324324
20000674,20000678,37,1.0007543404347168,3.1508798407067213,0,2.864864864864865
20000109,20000386,36,0.0,2.9821827095374576,0,3.7777777777777777
20000094,20000529,36,0.0,3.172320788330526,0,3.0
20000177,20000500,36,0.0,3.268338182443273,1,3.25
20000534,20000562,36,0.0,3.138884037071691,1,3.111111111111111
20000273,20000698,36,0.7525211934835954,2.783431744432639,0,0.1111111111111111
20000332,20000334,36,0.7535693658840972,3.0660877197789107,0,2.9166666666666665
20000177,20000678,36,0.7535726759337291,2.9459942017091985,0,3.2222222222222223
