taxi_id_1,taxi_id_2,trip_id_1,trip_id_2,distance_m,time_diff_s
20000049,20000294,1372662045620000049,1372662016620000294,3.62,1
20000101,20000605,1372668882620000101,1372668878620000605,4.82,4
20000487,20000557,1372667656620000487,1372667264620000557,3.36,2
20000199,20000517,1372669556620000199,1372669463620000517,3.36,3
20000380,20000410,1372671200620000380,1372671197620000410,2.51,3
20000113,20000692,1372674825620000113,1372674853620000692,1.81,2
20000038,20000359,1372673361620000038,1372673358620000359,0.75,3
20000109,20000397,1372673676620000109,1372673786620000397,2.14,5
20000256,20000608,1372677781620000256,1372677762620000608,2.47,4
20000126,20000215,1372681522620000126,1372681466620000215,4.27,4
20000198,20000207,1372682122620000198,1372682121620000207,2.26,1
20000041,20000109,1372687009620000041,1372687021620000109,2.0,3
20000177,20000327,1372694935620000177,1372695111620000327,1.51,4
20000307,20000680,1372698586620000307,1372698507620000680,3.1,4
20000093,20000360,1372700085620000093,1372699908620000360,4.28,3
20000172,20000360,1372700053620000172,1372699908620000360,3.9,5
20000123,20000256,1372706688620000123,1372706641620000256,4.27,2
20000123,20000612,1372706688620000123,1372706648620000612,2.26,5
20000372,20000598,1372705809620000372,1372705774620000598,1.81,5
20000310,20000483,1372712157620000310,1372712157620000483,4.52,0
20000108,20000483,1372714830620000108,1372714848620000483,3.02,3
20000111,20000334,1372715670620000111,1372715670620000334,4.52,0
20000476,20000569,1372720939620000476,1372720943620000569,4.63,4
20000157,20000167,1372729347620000157,1372729329620000167,3.77,3
20000157,20000488,1372729347620000157,1372729382620000488,3.01,5
20000432,20000486,1372747982620000432,1372747574620000486,4.25,3
20000450,20000595,1372751822620000450,1372751818620000595,4.28,4
20000001,20000045,1372755483620000001,1372755696620000045,4.28,3
20000022,20000542,1372761509620000022,1372761542620000542,1.81,3
20000615,20000623,1372759583620000615,1372759584620000623,1.25,1
20000008,20000572,1372771762620000008,1372771826620000572,1.81,4
20000158,20000331,1372770984620000158,1372771129620000331,4.82,5
20000144,20000521,1372784460620000144,1372784412620000521,3.76,3
20000065,20000190,1372790064620000065,1372790060620000190,3.62,4
20000085,20000904,1372788928620000085,1372788638620000904,2.51,5
20000128,20000258,1372788264620000128,1372788264620000258,4.52,0
20000128,20000410,1372788264620000128,1372788253620000410,4.63,4
20000258,20000410,1372788264620000258,1372788253620000410,3.02,4
20000352,20000409,1372790549620000352,1372790549620000409,4.28,0
20000325,20000589,1372803325620000325,1372803314620000589,4.28,4
20000305,20000307,1372822278620000305,1372822143620000307,4.63,0
20000305,20000434,1372822278620000305,1372822201620000434,3.1,2
20000307,20000624,1372822143620000307,1372822177620000624,1.25,4
20000328,20000435,1372820791620000328,1372820660620000435,3.02,4
20000177,20000561,1372841730620000177,1372841711620000561,3.76,4
20000281,20000542,1372841693620000281,1372841692620000542,2.14,1
20000160,20000684,1372844680620000160,1372843793620000684,3.18,2
20000196,20000217,1372842843620000196,1372842847620000217,4.82,4
20000460,20000588,1372844468620000460,1372844468620000588,4.07,0
20000053,20000494,1372848361620000053,1372848342620000494,4.82,4
20000579,20000632,1372851807620000579,1372851819620000632,1.81,3
20000448,20000625,1372849684620000448,1372849682620000625,4.82,2
20000105,20000436,1372856923620000105,1372856638620000436,3.36,0
20000190,20000529,1372864575620000190,1372864709620000529,3.02,1
20000400,20000617,1372867280620000400,1372867280620000617,3.18,0
20000114,20000576,1372871614620000114,1372871612620000576,1.81,2
20000285,20000576,1372871607620000285,1372871612620000576,2.26,5
20000092,20000144,1372875330620000092,1372875349620000144,3.62,4
20000206,20000372,1372877740620000206,1372877667620000372,3.1,2
20000216,20000611,1372875348620000216,1372876064620000611,4.0,4
20000254,20000685,1372879962620000254,1372880024620000685,4.82,2
20000481,20000681,1372881148620000481,1372880718620000681,4.6,5
20000254,20000276,1372883457620000254,1372883460620000276,1.51,3
20000154,20000173,1372882329620000154,1372882325620000173,0.0,4
20000381,20000542,1372886964620000381,1372886962620000542,4.6,2
20000157,20000276,1372885751620000157,1372885779620000276,3.1,2
20000167,20000488,1372888538620000167,1372888541620000488,3.18,3
20000101,20000517,1372892134620000101,1372892137620000517,4.25,3
20000338,20000392,1372895668620000338,1372895672620000392,3.01,4
20000347,20000610,1372892656620000347,1372892670620000610,4.28,1
20000304,20000684,1372898193620000304,1372898207620000684,3.62,1
20000161,20000483,1372902799620000161,1372902735620000483,4.0,4
20000136,20000686,1372903391620000136,1372903243620000686,4.6,2
20000263,20000338,1372914287620000263,1372914378620000338,1.51,1
20000325,20000331,1372917878620000325,1372917786620000331,3.18,2
20000084,20000276,1372923896620000084,1372923906620000276,3.76,5
20000159,20000429,1372923409620000159,1372923376620000429,4.6,3
20000576,20000578,1372925141620000576,1372925171620000578,2.51,0
20000040,20000242,1372933092620000040,1372933103620000242,3.62,4
20000495,20000516,1372933102620000495,1372933219620000516,3.62,3
20000271,20000305,1372932565620000271,1372932397620000305,1.25,3
20000021,20000576,1372938757620000021,1372938740620000576,4.28,2
20000128,20000159,1372937704620000128,1372937775620000159,4.27,4
20000633,20000692,1372937100620000633,1372937095620000692,4.94,5
20000391,20000594,1372941613620000391,1372941603620000594,4.82,5
20000114,20000682,1372944854620000114,1372944850620000682,3.1,4
20000120,20000653,1372945299620000120,1372945326620000653,4.82,3
20000174,20000226,1372952180620000174,1372951988620000226,2.47,3
20000180,20000256,1372951228620000180,1372951246620000256,1.25,3
