movieId,imdbId,tmdbId,source
1,114709,862,both
2,113497,8844,both
3,113228,15602,both
4,114885,31357,both
5,113041,11862,both
6,113277,949,both
7,114319,11860,both
8,112302,45325,both
9,114576,9091,both
10,113189,710,both
11,112346,9087,both
12,112896,12110,both
13,112453,21032,both
14,113987,10858,both
15,112760,1408,both
16,112641,524,both
17,114388,4584,both
18,113101,5,both
19,112281,9273,both
20,113845,11517,both
21,113161,8012,both
22,112722,1710,both
23,112401,9691,both
24,114168,12665,both
25,113627,451,both
26,114057,16420,both
27,114011,9263,both
28,114117,17015,both
29,112682,902,both
30,115012,37557,both
31,112792,9909,both
32,114746,63,both
33,114952,78802,full
34,112431,9598,both
35,112637,47018,both
36,112818,687,both
37,112286,139405,both
38,113442,33689,both
39,112697,9603,both
40,112749,34615,both
41,114279,31174,both
42,112819,11443,both
43,114272,35196,both
44,113855,9312,both
45,114681,577,both
46,113347,11861,both
47,114369,807,both
48,114148,10530,both
49,114916,8391,both
50,114814,629,both
51,109950,117164,full
52,113819,11448,both
53,110299,49133,both
54,112499,26441,both
55,113158,97406,both
56,113541,124057,full
57,113321,9089,both
58,110877,11010,both
59,112714,99040,both
60,113419,11359,both
61,116260,17182,both
62,113862,2054,both
63,116126,10607,both
64,118002,19760,both
65,115683,9536,both
66,116839,11525,both
67,114753,40628,full
68,113149,4482,both
69,113118,10634,both
70,116367,755,both
71,113010,11859,both
72,113537,28387,both
73,113828,48750,both
74,115644,20927,both
75,115676,36929,full
76,114367,9102,both
77,113973,124626,both
78,112744,27526,both
79,116731,9623,both
80,112445,46785,both
81,114660,400,both
82,112379,880,both
83,114039,146599,both
84,113612,188588,both
85,112365,8447,both
86,118158,10534,both
87,116151,17414,both
88,115697,13997,both
89,113972,2086,both
90,113490,61548,full
92,117002,9095,both
93,114825,12158,both
94,115639,9283,both
95,115759,9208,both
96,113403,40154,both
97,113247,406,both
98,111173,45549,both
99,113283,63076,both
100,115907,11062,both
101,115734,13685,both
102,117102,47475,both
103,118040,2045,both
104,116483,9614,both
105,112579,688,both
106,110251,11907,full
107,117110,10874,both
108,112646,89333,both
109,113276,96357,full
110,112573,197,both
111,75314,103,both
112,113326,33542,both
113,115645,43566,both
114,113774,71754,both
115,112556,43612,full
116,112373,51352,both
117,115033,16934,both
118,116606,10324,both
119,114536,78406,both
120,117427,55731,full
121,106473,32119,both
122,103859,11066,both
123,109424,11104,both
124,114808,37975,both
125,116324,2074,both
126,110647,27793,both
127,111055,44284,full
128,110217,290157,full
129,114131,110972,both
130,112364,32622,both
131,113107,73067,both
132,113451,11863,both
133,114015,55475,full
134,114500,124636,full
135,116130,9101,both
136,113125,123360,full
137,113756,5757,both
138,113952,39428,full
139,114618,124639,full
140,118055,9302,both
141,115685,11000,both
142,94878,,full
143,113200,249882,full
144,112585,16388,both
145,112442,9737,both
146,112342,30765,both
147,112461,10474,both
148,112427,22279,both
149,109093,30157,both
150,112384,568,both
151,114287,11780,both
152,112288,34996,both
153,112462,414,both
154,61395,649,both
155,112495,1873,both
156,112541,5894,both
157,109370,1775,both
158,112642,8839,both
159,112688,20649,both
160,112715,10329,both
161,112740,8963,both
162,109508,26564,both
163,112851,8068,both
164,112857,8512,both
165,112864,1572,both
166,112887,13552,both
167,113044,259209,both
168,113071,6520,both
169,113114,9073,both
170,113243,10428,both
171,113464,17447,both
172,113481,9886,both
173,113492,9482,both
174,113500,19326,both
175,113540,9344,both
176,113677,9071,both
177,113690,8973,both
178,107447,15730,both
179,113729,47608,both
180,113749,2293,both
181,113820,9070,both
182,113851,68274,full
183,110604,48787,both
184,110620,34574,both
185,113957,1642,both
186,113986,11472,both
187,114095,36196,both
188,114194,11980,both
189,114241,58372,both
190,114323,32646,both
191,114345,10533,both
192,114435,56088,full
193,114436,10802,both
194,114478,10149,both
195,114496,18402,both
196,114508,9348,both
197,114534,139408,full
198,114558,281,both
199,58450,5967,both
200,114666,79593,both
201,114663,47939,both
202,114702,36834,both
203,114682,9090,both
204,114781,3512,both
205,114798,52856,both
206,114805,77350,both
207,114887,9560,both
208,114898,9804,both
209,114928,31611,both
210,114938,65796,full
211,109340,49805,both
212,112602,26258,full
213,111579,50797,both
214,110882,19155,both
215,112471,76,both
216,112508,11017,both
217,112438,37141,both
218,112571,9382,both
219,112757,6715,both
220,112643,18256,both
222,112679,22625,both
223,109445,2292,both
224,112883,1909,both
225,109635,8984,both
226,112899,61813,full
227,109676,4954,both
228,112854,62488,both
229,109579,10531,both
230,109642,11929,both
231,109686,8467,both
232,111797,10451,both
233,109759,20156,both
234,109758,18395,both
235,109707,522,both
236,113117,397,both
237,113097,10525,both
238,113028,27985,both
239,113198,15789,both
240,113303,27303,both
241,113089,21183,both
242,109771,10954,both
243,113199,47867,both
244,113234,43475,both
245,109906,72031,both
246,110057,14275,both
247,110005,1024,both
248,110066,17207,both
249,110116,13701,both
250,110006,14819,both
251,113360,32631,both
252,110099,11777,both
253,110148,628,both
254,113463,87729,both
255,110189,18713,both
256,110216,6280,both
257,113501,9061,both
258,113538,37108,both
259,113552,6071,both
260,76759,11,both
261,110367,9587,both
262,113670,19101,both
263,110296,49980,both
264,109731,17961,both
265,103994,18183,both
266,110322,4476,both
267,110443,11008,both
268,110365,47504,both
269,107566,32325,both
270,110391,43742,both
271,113691,28313,both
272,110428,11318,both
273,109836,3036,both
274,113755,40490,both
275,110538,24070,both
276,110516,8986,both
277,110527,10510,both
278,113808,17402,both
279,113896,38722,both
